job_uid,title,company,location,url,source,first_seen,last_seen,emailed
greenhouse:8166705,"Marketing Manager, Israel",Taboola,"Tel Aviv, Israel",https://www.taboola.com/careers/job/8166705?gh_jid=8166705,greenhouse,2026-09-03,2026-09-05,1
comeet:D3.27D,Product Manager,Tailor Brands,https://www.tailorbrands.com/careers,https://www.tailorbrands.com/careers,comeet,2026-09-03,2026-09-05,1
smartrecruiters:744000147173260,Inbound Product Marketing Manager,Wix,"Tel Aviv, , Israel",https://jobs.smartrecruiters.com/Wix2/744000147173260,smartrecruiters,2026-09-03,2026-09-05,1
smartrecruiters:744000147160953,Experienced AI Product Marketing Manager - Base44,Wix,"Tel Aviv, , Israel",https://jobs.smartrecruiters.com/Wix2/744000147160953,smartrecruiters,2026-09-03,2026-09-05,1
smartrecruiters:744000146664099,Revenue Operations Data Analyst - Temporary position,Check Point,"Tel Aviv/ Hybrid (Israel), , Israel",https://jobs.smartrecruiters.com/CheckPointSoftwareTechnologies2/744000146664099,smartrecruiters,2026-09-02,2026-09-05,1
comeet:4F.E56,Brand Marketing Manager,Guardio,"Tel-Aviv, Israel",https://guard.io/careers,comeet,2026-09-02,2026-09-05,1
greenhouse:8165995,Operation Coordinator - Temporary role - Tel Aviv site,JFrog,tel aviv,https://join.jfrog.com/job/?job=8165995&gh_jid=8165995,greenhouse,2026-09-02,2026-09-05,1
comeet:94.860,רכז/ת קשרי גומלין שותפות ירוחם,Jewish Agency,ירוחם,https://careers.jewishagency.org/career/%d7%a8%d7%9b%d7%96-%d7%aa-%d7%a7%d7%a9%d7%a8%d7%99-%d7%92%d7%95%d7%9e%d7%9c%d7%99%d7%9f-%d7%a9%d7%95%d7%aa%d7%a4%d7%95%d7%aa-%d7%99%d7%a8%d7%95%d7%97%d7%9d/,comeet,2026-09-02,2026-09-05,1
greenhouse:7823922003,Program Manager,Melio,Tel Aviv,https://job-boards.greenhouse.io/melio/jobs/7823922003,greenhouse,2026-09-02,2026-09-05,1
comeet:B9.E6A,Product Data Analyst,Tailor Brands,https://www.tailorbrands.com/careers,https://www.tailorbrands.com/career/co/https-www-tailorbrands-com-careers/B9.E6A/product-data-analyst/all?-updates=&-updates,comeet,2026-09-02,2026-09-03,1
greenhouse:6177745004,Product Analyst ,Torq,Tel Aviv,https://job-boards.greenhouse.io/torq/jobs/6177745004,greenhouse,2026-09-02,2026-09-05,1
comeet:BD.172,Software Project Manager,Comm-IT,Petah Tikva,https://www.comm-it.com/commit-jobs#career-sec,comeet,2026-09-01,2026-09-05,1
greenhouse:4388385009,Director of Growth Ventures,Datarails,"Tel Aviv-Yafo, Tel Aviv District, Israel",https://job-boards.greenhouse.io/datarails/jobs/4388385009,greenhouse,2026-09-01,2026-09-05,1
comeet:7D.170,"Project Manager  – Compliance, Privacy & Technology Governance",Deloitte IL,Tel-Aviv,https://careers.deloitte.co.il/he/position/7d-170-he/,comeet,2026-09-01,2026-09-05,1
greenhouse:8759593002,ML-Ops Analyst - (Student Position),Forter,Israel - Tel Aviv,https://job-boards.greenhouse.io/forter/jobs/8759593002,greenhouse,2026-09-01,2026-09-01,1
greenhouse:8759588002,Operations Analyst Student ,Forter,Israel - Tel Aviv,https://job-boards.greenhouse.io/forter/jobs/8759588002,greenhouse,2026-09-01,2026-09-01,1
greenhouse:8764275002,B2B Demand Generation Manager,Lightricks,Jerusalem,https://careers.lightricks.com/position?gh_jid=8764275002&gh_jid=8764275002,greenhouse,2026-09-01,2026-09-05,1
greenhouse:8156115,Technical Salesforce Project Manager,Payoneer,"Herzliya, Tel Aviv District, Israel",https://www.payoneer.com/careers/position/8156115/?gh_jid=8156115,greenhouse,2026-09-01,2026-09-05,1
greenhouse:4964179101,Product Manager ,Sweet Security,"Tel-Aviv, Israel",https://job-boards.eu.greenhouse.io/sweetsecurity/jobs/4964179101,greenhouse,2026-09-01,2026-09-05,1
comeet:3C.17D,Product Manager,Deloitte IL,Tel-Aviv,https://careers.deloitte.co.il/position/3c-17d-en/,comeet,2026-08-31,2026-09-05,1
comeet:A1.E64,CX Ops Manager,Guardio,"Tel-Aviv, Israel",https://guard.io/careers,comeet,2026-08-31,2026-09-05,1
smartrecruiters:744000145551157,Board Design / Hardware Project Manager,Check Point,"Tel Aviv-Yafo, Tel Aviv District, Israel",https://jobs.smartrecruiters.com/CheckPointSoftwareTechnologies2/744000145551157,smartrecruiters,2026-08-29,2026-09-05,1
greenhouse:4381673009,Product Designer (Parental Leave Replacement),Descope,Tel Aviv ,https://job-boards.greenhouse.io/descope/jobs/4381673009,greenhouse,2026-08-29,2026-09-05,1
greenhouse:5220947007,Marketing Events Coordinator (Contractor) ,Salt Security,Remote,https://salt.security/job-board?gh_jid=5220947007,greenhouse,2026-08-29,2026-09-05,1
lever:74aa0b46-d56c-44fe-9946-9b14b8a27bcc,Product Designer,WalkMe,Tel Aviv,https://jobs.lever.co/walkme/74aa0b46-d56c-44fe-9946-9b14b8a27bcc,lever,2026-08-29,2026-09-05,1
