Company,Job Title,Location,Link,Source
AppsFlyer,GTM Operations Specialist,Israel,https://careers.appsflyer.com/jobs/position/8624119002?gh_jid=8624119002,greenhouse
Armis,Sr Staff Inbound Product Manager,"Tel Aviv-Yafo, Tel Aviv District, Israel",https://job-boards.greenhouse.io/armissecurity/jobs/6105741004,greenhouse
Attil,Engineering Manager,"Airport City/ ToHa, Tel Aviv",https://www.comeet.com/jobs/joinattil/38.00A/engineering-manager/BF.660,comeet
Axonius,DevOps Operations Engineer,"Tel Aviv, Israel",https://www.axonius.com/company/careers/open-jobs?gh_jid=7818899003,greenhouse
Cato Networks,Global HR Operations & HRIS Manager,"Tel Aviv District, Israel",https://www.catonetworks.com/careers/careers-post/4905948101?gh_jid=4905948101,greenhouse
Cato Networks,Legal Counsel - Product,"Tel Aviv District, Israel",https://www.catonetworks.com/careers/careers-post/4904750101?gh_jid=4904750101,greenhouse
Cato Networks,Product Manager - AI Security,"Tel Aviv District, Israel",https://www.catonetworks.com/careers/careers-post/4882479101?gh_jid=4882479101,greenhouse
Cato Networks,Technical Program Manager,"Tel Aviv District, Israel",https://www.catonetworks.com/careers/careers-post/4920920101?gh_jid=4920920101,greenhouse
Check Point,AI Acceleration Group Manager,"Tel Aviv/ Hybrid (Israel), , Israel",https://jobs.smartrecruiters.com/CheckPointSoftwareTechnologies2/744000138038542,smartrecruiters
Check Point,"Customer Success Manager Operations, Exposure Management","Tel Aviv/ Hybrid (Israel), , Israel",https://jobs.smartrecruiters.com/CheckPointSoftwareTechnologies2/744000137310484,smartrecruiters
Check Point,Information Security Manager at Harmony SASE,"Tel Aviv/ Hybrid (Israel), , Israel",https://jobs.smartrecruiters.com/CheckPointSoftwareTechnologies2/744000138038784,smartrecruiters
Check Point,Major Account Manager,"Tel Aviv, , Israel",https://jobs.smartrecruiters.com/CheckPointSoftwareTechnologies2/744000138031859,smartrecruiters
Check Point,Operation Group Manager SMB area,"Tel Aviv/ Hybrid (Israel), , Israel",https://jobs.smartrecruiters.com/CheckPointSoftwareTechnologies2/744000138039359,smartrecruiters
Check Point,Performance Engineering Manager,"Tel Aviv-Yafo, Tel Aviv District, Israel",https://jobs.smartrecruiters.com/CheckPointSoftwareTechnologies2/744000140536079,smartrecruiters
Check Point,Procurement Manager,"Tel Aviv-Yafo, Tel Aviv District, Israel",https://jobs.smartrecruiters.com/CheckPointSoftwareTechnologies2/744000139285989,smartrecruiters
Check Point,Product Manager-Cyber Threat Prevention,"Tel Aviv/ Hybrid (Israel), , Israel",https://jobs.smartrecruiters.com/CheckPointSoftwareTechnologies2/744000138033779,smartrecruiters
Check Point,Product Security Engineer ,"Tel Aviv/ Hybrid (Israel), , Israel",https://jobs.smartrecruiters.com/CheckPointSoftwareTechnologies2/744000138502280,smartrecruiters
Check Point,R&D Escalation Manager,"Tel Aviv/ Hybrid (Israel), , Israel",https://jobs.smartrecruiters.com/CheckPointSoftwareTechnologies2/744000137620229,smartrecruiters
Check Point,Renewal Sales Manager  German Speaker (Fixed-Term Contract 1 Year),"Tel Aviv-Yafo, Tel Aviv District, Israel",https://jobs.smartrecruiters.com/CheckPointSoftwareTechnologies2/744000140019419,smartrecruiters
Check Point,"Technical Customer Success Manager, Endpoint Security","Tel Aviv/ Hybrid (Israel), , Israel",https://jobs.smartrecruiters.com/CheckPointSoftwareTechnologies2/744000138028644,smartrecruiters
Check Point,Web Dev/Marketing Operations Manager,"Tel Aviv/ Hybrid (Israel), , Israel",https://jobs.smartrecruiters.com/CheckPointSoftwareTechnologies2/744000138137830,smartrecruiters
